"title","field_farm_id","field_tract_id","field_field_id","field_state_territory","field_county","field_waste_system","field_lagoon_cover","field_lagoon_aeration"
"1","71","201","80","LA","Russell","None","Yes","Yes"
"2","219","72","63","MS","Johnson","Organic","No","No"
"3","74","166","81","LA","Monroe","None","Yes","Yes"
"4","121","10","25","TX","Thompson","None","No","Yes"
"5","184","78","19","AR","Henderson","None","No","Yes"
"6","79","26","136","NC","Morgan","None","Yes","No"
"7","10","100","199","SC","Livingston","Organic","No","No"
"8","42","153","181","FL","Henry","None","Yes","No"
"9","204","151","90","GA","Collier","None","Yes","No"
"10","113","119","10","TN","Hart","None","Yes","Yes"
"11","33","196","189","VA","Jones","None","No","Yes"
"12","204","131","199","WY","Willow","None","No","Yes"